"partition_number","accuracy"
100,0.8
1000,0.8
10001,0.85
1001,0.85
101,0.75
102,0.7
103,0.85
104,0.85
105,0.85
106,0.85
107,0.85
108,0.8
109,0.85
110,0.85
1101,0.85
111,0.8
112,0.75
113,0.8
114,0.75
115,0.8
116,0.9
117,0.75
118,0.75
119,0.85
120,0.8
1201,0.8
121,0.85
122,0.75
123,0.8
124,0.85
125,0.85
1251,0.85
126,0.85
127,0.75
128,0.9
129,0.75
130,0.8
131,0.8
132,0.8
133,0.85
134,0.9
135,0.85
136,0.85
137,0.8
138,0.8
139,0.75
140,0.8
141,0.85
142,0.75
143,0.8
144,0.75
145,0.85
146,0.8
147,0.8
148,0.75
149,0.8
150,0.7
151,0.85
152,0.85
153,0.8
154,0.85
155,0.75
156,0.8
157,0.75
158,0.8
159,0.8
160,0.8
161,0.8
162,0.8
163,0.75
164,0.8
165,0.8
166,0.8
167,0.8
168,0.8
169,0.75
170,0.75
171,0.85
172,0.8
173,0.8
174,0.75
175,0.75
176,0.8
177,0.85
178,0.8
179,0.8
180,0.8
181,0.75
182,0.85
183,0.75
184,0.85
185,0.85
186,0.8
187,0.75
188,0.75
189,0.8
190,0.8
191,0.8
192,0.75
193,0.75
194,0.85
195,0.9
196,0.75
197,0.85
198,0.85
199,0.8
200,0.85
2001,0.85
201,0.85
3001,0.85
301,0.85
4001,0.85
401,0.75
455,0.8
463,0.75
465,0.8
467,0.8
469,0.8
475,0.85
5001,0.85
501,0.85
609,0.85
701,0.85
71,0.85
800,0.85
801,0.85
802,0.8
803,0.8
804,0.85
805,0.85
806,0.75
807,0.85
808,0.85
809,0.85
81,0.75
810,0.85
811,0.85
812,0.75
813,0.8
814,0.8
815,0.75
816,0.8
817,0.75
818,0.8
819,0.8
820,0.75
821,0.8
822,0.75
823,0.85
824,0.8
825,0.8
826,0.8
827,0.8
828,0.75
829,0.8
830,0.85
831,0.85
832,0.8
833,0.75
834,0.85
835,0.85
836,0.75
837,0.85
838,0.85
839,0.85
840,0.85
841,0.85
842,0.75
843,0.8
844,0.8
845,0.75
846,0.8
847,0.75
848,0.8
849,0.8
850,0.75
851,0.85
852,0.75
853,0.8
854,0.8
855,0.8
856,0.8
857,0.8
858,0.75
859,0.75
860,0.8
861,0.85
862,0.85
863,0.85
864,0.85
865,0.75
866,0.85
867,0.85
868,0.8
869,0.75
870,0.8
871,0.85
872,0.75
873,0.8
874,0.8
875,0.85
876,0.75
877,0.8
878,0.75
879,0.8
880,0.8
881,0.85
882,0.85
883,0.8
884,0.85
885,0.75
886,0.8
887,0.75
888,0.8
889,0.8
890,0.8
891,0.8
892,0.8
893,0.85
894,0.85
895,0.85
896,0.8
897,0.8
898,0.8
899,0.75
900,0.75
901,0.8
902,0.85
903,0.8
904,0.75
905,0.85
906,0.75
907,0.75
908,0.85
909,0.85
91,0.85
910,0.8
911,0.8
912,0.8
913,0.85
914,0.8
915,0.75
916,0.85
917,0.85
918,0.75
919,0.8
920,0.85
921,0.85
922,0.85
923,0.85
924,0.8
925,0.8
926,0.85
927,0.8
928,0.8
929,0.75
930,0.8
931,0.8
932,0.75
933,0.85
934,0.75
935,0.8
936,0.8
937,0.8
938,0.8
939,0.8
940,0.75
941,0.8
942,0.8
943,0.8
944,0.85
945,0.85
946,0.8
947,0.8
948,0.85
949,0.85
950,0.8
951,0.8
952,0.85
953,0.85
954,0.8
955,0.8
956,0.8
957,0.85
958,0.75
959,0.75
960,0.8
961,0.8
962,0.85
963,0.85
964,0.8
965,0.8
966,0.8
967,0.75
968,0.75
969,0.75
970,0.8
971,0.8
972,0.8
973,0.8
974,0.8
975,0.85
976,0.85
977,0.85
978,0.8
979,0.8
980,0.8
981,0.75
982,0.75
983,0.8
984,0.85
985,0.8
986,0.75
987,0.85
988,0.75
989,0.75
990,0.85
991,0.85
992,0.8
993,0.8
994,0.8
995,0.8
996,0.8
997,0.75
998,0.8
999,0.8
